,iter,mean,std
0,0,-200.0,0.0
1,1,-139.0,86.2670273047588
2,2,-20.333333333333332,2.3570226039551585
3,3,-20.333333333333332,2.3570226039551585
4,4,-20.333333333333332,2.3570226039551585
5,5,-20.333333333333332,2.3570226039551585
6,6,-20.333333333333332,2.3570226039551585
7,7,-20.333333333333332,2.3570226039551585
8,8,-20.333333333333332,2.3570226039551585
9,9,-20.333333333333332,2.3570226039551585
10,10,-20.333333333333332,2.3570226039551585
11,11,-20.333333333333332,2.3570226039551585
12,12,-20.333333333333332,2.3570226039551585
13,13,-20.333333333333332,2.3570226039551585
14,14,-20.333333333333332,2.3570226039551585
15,15,-20.333333333333332,2.3570226039551585
16,16,-20.333333333333332,2.3570226039551585
17,17,-20.333333333333332,2.3570226039551585
18,18,-20.333333333333332,2.3570226039551585
19,19,-20.333333333333332,2.3570226039551585
20,20,-20.333333333333332,2.3570226039551585
21,21,-20.333333333333332,2.3570226039551585
22,22,-20.333333333333332,2.3570226039551585
23,23,-20.333333333333332,2.3570226039551585
24,24,-20.333333333333332,2.3570226039551585
25,25,-20.333333333333332,2.3570226039551585
26,26,-20.333333333333332,2.3570226039551585
27,27,-20.333333333333332,2.3570226039551585
28,28,-20.333333333333332,2.3570226039551585
29,29,-20.333333333333332,2.3570226039551585
30,30,-20.333333333333332,2.3570226039551585
31,31,-20.333333333333332,2.3570226039551585
32,32,-20.333333333333332,2.3570226039551585
33,33,-20.333333333333332,2.3570226039551585
34,34,-20.333333333333332,2.3570226039551585
35,35,-20.333333333333332,2.3570226039551585
36,36,-20.333333333333332,2.3570226039551585
37,37,-20.333333333333332,2.3570226039551585
38,38,-20.333333333333332,2.3570226039551585
39,39,-20.333333333333332,2.3570226039551585
40,40,-20.333333333333332,2.3570226039551585
41,41,-20.333333333333332,2.3570226039551585
42,42,-20.333333333333332,2.3570226039551585
43,43,-20.333333333333332,2.3570226039551585
44,44,-20.333333333333332,2.3570226039551585
45,45,-20.333333333333332,2.3570226039551585
46,46,-20.333333333333332,2.3570226039551585
47,47,-20.333333333333332,2.3570226039551585
48,48,-20.333333333333332,2.3570226039551585
49,49,-20.333333333333332,2.3570226039551585
